comment_id,stakeholder,provision_reference,date,comment_text,sentiment_label,cleaned,predicted_sentiment
1,Lawyer,Section 12,2024-01-27,Resource value far happy thought on natural thus generation somebody citizen door bag. This clause will create difficulties and must be reconsidered.,Negative,resource value far happy thought natural thus generation somebody citizen door bag clause create difficulties must reconsidered,POSITIVE
2,NGO,Section 1,2024-08-09,Case student benefit perhaps bar catch stay foreign sister. It has both advantages and drawbacks depending on context.,Neutral,case student benefit perhaps bar catch stay foreign sister advantages drawbacks depending context,NEGATIVE
3,Consultant,Section 11,2024-02-25,Away people garden successful arrive enter specific clearly on thousand eat. It has both advantages and drawbacks depending on context.,Neutral,away people garden successful arrive enter specific clearly thousand eat advantages drawbacks depending context,NEGATIVE
4,Individual,Section 18,2024-04-19,Move claim personal young financial far institution bank behind good more rich executive amount world. It has both advantages and drawbacks depending on context.,Neutral,move claim personal young financial far institution bank behind good rich executive amount world advantages drawbacks depending context,POSITIVE
5,Lawyer,Overall Draft,2024-07-24,Heart vote health she instead religious prove foot it tell answer however late seem his. This change is beneficial and should be welcomed.,Positive,heart vote health instead religious prove foot tell answer however late seem change beneficial welcomed,POSITIVE
6,NGO,Overall Draft,2024-08-15,Last again control successful lose girl phone power military car though dog. This clause will create difficulties and must be reconsidered.,Negative,last control successful lose girl phone power military car though dog clause create difficulties must reconsidered,NEGATIVE
7,Individual,Section 16,2024-07-10,Science thing mother throughout summer property these election ever less movement. This clause will create difficulties and must be reconsidered.,Negative,science thing mother throughout summer property election ever less movement clause create difficulties must reconsidered,NEGATIVE
8,Regulator,Clause 8,2024-02-15,Population tough anything PM field movie respond check it. This clause will create difficulties and must be reconsidered.,Negative,population tough anything pm field movie respond check clause create difficulties must reconsidered,NEGATIVE
9,Regulator,Section 17,2024-03-18,Act believe continue also election hot return enough the important blue clearly capital maintain. This change is beneficial and should be welcomed.,Positive,act believe continue also election hot return enough important blue clearly capital maintain change beneficial welcomed,POSITIVE
10,Regulator,Section 17,2024-07-12,Fall choice million road assume pass significant just two director role trade can thus. It has both advantages and drawbacks depending on context.,Neutral,fall choice million road assume pass significant two director role trade thus advantages drawbacks depending context,NEGATIVE
11,Lawyer,Clause 6,2024-01-16,Hair yard economy worker modern success half PM and attention according read door eight. This change is beneficial and should be welcomed.,Positive,hair yard economy worker modern success half pm attention according read door eight change beneficial welcomed,POSITIVE
12,Individual,Clause 8,2024-07-04,Without name thought watch value or law international within mouth. This change is beneficial and should be welcomed.,Positive,without name thought watch value law international within mouth change beneficial welcomed,POSITIVE
13,Auditor,Section 2,2024-08-12,Region identify serve road tell seat data leg adult shake run. It has both advantages and drawbacks depending on context.,Neutral,region identify serve road tell seat data leg adult shake run advantages drawbacks depending context,NEGATIVE
14,Regulator,Section 6,2024-04-12,Institution create body herself board resource ago car free know store soldier. This clause will create difficulties and must be reconsidered.,Negative,institution create body board resource ago car free know store soldier clause create difficulties must reconsidered,NEGATIVE
15,Consultant,Clause 1,2024-01-28,Wonder design follow know watch discover run. It has both advantages and drawbacks depending on context.,Neutral,wonder design follow know watch discover run advantages drawbacks depending context,NEGATIVE
16,Regulator,Section 10,2024-08-19,Above write condition student each mother hair learn goal do late hot Congress between. This change is beneficial and should be welcomed.,Positive,write condition student mother hair learn goal late hot congress change beneficial welcomed,POSITIVE
17,Auditor,Clause 5,2024-08-22,Area sister large reach allow customer off above build. This clause will create difficulties and must be reconsidered.,Negative,area sister large reach allow customer build clause create difficulties must reconsidered,NEGATIVE
18,Lawyer,Clause 9,2024-06-26,Mouth wall tell enjoy bring age heart team realize soldier eye red they paper. This change is beneficial and should be welcomed.,Positive,mouth wall tell enjoy bring age heart team realize soldier eye red paper change beneficial welcomed,POSITIVE
19,Regulator,Section 10,2024-06-03,Mission develop project court thought general production future give none. This clause will create difficulties and must be reconsidered.,Negative,mission develop project court thought general production future give none clause create difficulties must reconsidered,NEGATIVE
20,Individual,Section 17,2024-05-06,Indicate kind eight cultural level age ready kid office. This change is beneficial and should be welcomed.,Positive,indicate kind eight cultural level age ready kid office change beneficial welcomed,POSITIVE
21,Individual,Section 12,2024-03-31,Born yeah morning that have teach establish song young according world range so. It has both advantages and drawbacks depending on context.,Neutral,born yeah morning teach establish song young according world range advantages drawbacks depending context,POSITIVE
22,Company,Clause 1,2024-10-03,Bag practice hope hair or bit produce you. This clause will create difficulties and must be reconsidered.,Negative,bag practice hope hair bit produce clause create difficulties must reconsidered,NEGATIVE
23,Regulator,Section 17,2024-07-13,Treatment indeed base again particularly drug concern easy article conference share cause. It has both advantages and drawbacks depending on context.,Neutral,treatment indeed base particularly drug concern easy article conference share cause advantages drawbacks depending context,NEGATIVE
24,Company,Section 20,2024-08-04,Power game policy rather building program with bit hot clearly development ask teach human itself. It has both advantages and drawbacks depending on context.,Neutral,power game policy rather building program bit hot clearly development ask teach human advantages drawbacks depending context,NEGATIVE
25,Company,Section 19,2024-02-04,Close can agreement even unit remember service least head task amount popular for green daughter. This clause will create difficulties and must be reconsidered.,Negative,close agreement even unit remember service least head task amount popular green daughter clause create difficulties must reconsidered,NEGATIVE
26,NGO,Section 14,2024-03-10,Assume their him next American nearly a level role. This change is beneficial and should be welcomed.,Positive,assume next american nearly level role change beneficial welcomed,POSITIVE
27,Regulator,Section 12,2024-09-25,Reach serious ok need visit blue central method although. It has both advantages and drawbacks depending on context.,Neutral,reach serious ok need visit blue central method although advantages drawbacks depending context,NEGATIVE
28,Individual,Section 18,2024-07-23,Result expect instead compare make Republican newspaper military animal including rich change low worker society start. This change is beneficial and should be welcomed.,Positive,result expect instead compare make republican newspaper military animal including rich change low worker society start change beneficial welcomed,NEGATIVE
29,Auditor,Section 11,2024-03-24,Conference manager health this student including contain like gun should reduce single business exist develop. It has both advantages and drawbacks depending on context.,Neutral,conference manager health student including contain like gun reduce single business exist develop advantages drawbacks depending context,NEGATIVE
30,Individual,Clause 4,2024-04-25,Manage never course meeting force article close class shoulder power data. It has both advantages and drawbacks depending on context.,Neutral,manage never course meeting force article close class shoulder power data advantages drawbacks depending context,NEGATIVE
31,Individual,Section 7,2024-01-31,Six political study skin surface science fast future Congress then treatment land she affect send. It has both advantages and drawbacks depending on context.,Neutral,six political study skin surface science fast future congress treatment land affect send advantages drawbacks depending context,NEGATIVE
32,Regulator,Section 17,2024-05-30,Run sure walk different mean age box before clearly its see wife stand hear too consumer. This change is beneficial and should be welcomed.,Positive,run sure walk different mean age box clearly see wife stand hear consumer change beneficial welcomed,POSITIVE
33,Company,Section 8,2024-01-01,Church ready each already of campaign film indeed knowledge glass table citizen. It has both advantages and drawbacks depending on context.,Neutral,church ready already campaign film indeed knowledge glass table citizen advantages drawbacks depending context,NEGATIVE
34,Auditor,Overall Draft,2024-04-14,Develop defense community example computer around keep while station officer relationship with understand music. This clause will create difficulties and must be reconsidered.,Negative,develop defense community example computer around keep station officer relationship understand music clause create difficulties must reconsidered,NEGATIVE
35,Consultant,Clause 1,2024-09-17,Left charge system strong music able identify eight form story much. This change is beneficial and should be welcomed.,Positive,left charge system strong music able identify eight form story much change beneficial welcomed,POSITIVE
36,Consultant,Section 3,2024-02-13,Remain accept almost beautiful happy approach mission with remain operation. This change is beneficial and should be welcomed.,Positive,remain accept almost beautiful happy approach mission remain operation change beneficial welcomed,POSITIVE
37,Lawyer,Section 12,2024-07-23,List defense organization allow education play education society save send six tax. This clause will create difficulties and must be reconsidered.,Negative,list defense organization allow education play education society save send six tax clause create difficulties must reconsidered,NEGATIVE
38,Company,Section 4,2024-01-05,Free law sense other outside mean pressure pick although development language treatment them quality back. This change is beneficial and should be welcomed.,Positive,free law sense outside mean pressure pick although development language treatment quality back change beneficial welcomed,POSITIVE
39,Consultant,Section 6,2024-05-06,Prove less admit street cost total positive door itself piece picture everybody recognize down discover loss. It has both advantages and drawbacks depending on context.,Neutral,prove less admit street cost total positive door piece picture everybody recognize discover loss advantages drawbacks depending context,NEGATIVE
40,Company,Section 10,2024-07-05,Congress range end might it similar third place meet theory home. It has both advantages and drawbacks depending on context.,Neutral,congress range end might similar third place meet theory home advantages drawbacks depending context,NEGATIVE
41,Company,Clause 6,2024-09-04,Create member whole probably medical international maybe level home as partner. This change is beneficial and should be welcomed.,Positive,create member whole probably medical international maybe level home partner change beneficial welcomed,POSITIVE
42,Consultant,Section 3,2024-03-03,Nature treat fact particularly success military enjoy take couple. It has both advantages and drawbacks depending on context.,Neutral,nature treat fact particularly success military enjoy take couple advantages drawbacks depending context,POSITIVE
43,Lawyer,Section 8,2024-03-24,Skin always itself soldier Mr none benefit amount life realize race. This clause will create difficulties and must be reconsidered.,Negative,skin always soldier mr none benefit amount life realize race clause create difficulties must reconsidered,NEGATIVE
44,NGO,Clause 5,2024-02-22,Authority investment trial I attack result senior source community bring. This change is beneficial and should be welcomed.,Positive,authority investment trial attack result senior source community bring change beneficial welcomed,POSITIVE
45,Auditor,Clause 1,2024-08-17,Thing bar hit hospital nation star oil industry quality wonder environment only include arrive court. It has both advantages and drawbacks depending on context.,Neutral,thing bar hit hospital nation star oil industry quality wonder environment include arrive court advantages drawbacks depending context,NEGATIVE
46,Lawyer,Overall Draft,2024-10-07,Major carry drive stuff card help staff for case loss cause eat. This clause will create difficulties and must be reconsidered.,Negative,major carry drive stuff card help staff case loss cause eat clause create difficulties must reconsidered,NEGATIVE
47,Regulator,Clause 6,2024-04-02,Argue former add art these president money choice trouble writer story eye interest beyond husband fast. This change is beneficial and should be welcomed.,Positive,argue former add art president money choice trouble writer story eye interest beyond husband fast change beneficial welcomed,POSITIVE
48,Regulator,Section 13,2024-09-12,Wife quality any customer thought beyond unit late reach gas. This clause will create difficulties and must be reconsidered.,Negative,wife quality customer thought beyond unit late reach gas clause create difficulties must reconsidered,NEGATIVE
49,NGO,Section 1,2024-04-07,Deep reason current these front out film. This clause will create difficulties and must be reconsidered.,Negative,deep reason current front film clause create difficulties must reconsidered,NEGATIVE
50,Company,Section 8,2024-09-03,Pressure Mrs where administration degree meeting hundred cultural head prevent data cell magazine social by thing. It has both advantages and drawbacks depending on context.,Neutral,pressure mrs administration degree meeting hundred cultural head prevent data cell magazine social thing advantages drawbacks depending context,NEGATIVE
51,Individual,Clause 9,2024-06-09,Stage try campaign represent example wife leader. This clause will create difficulties and must be reconsidered.,Negative,stage try campaign represent example wife leader clause create difficulties must reconsidered,NEGATIVE
52,Consultant,Section 15,2024-10-09,Speak air them animal item occur weight without order. It has both advantages and drawbacks depending on context.,Neutral,speak air animal item occur weight without order advantages drawbacks depending context,POSITIVE
53,Individual,Section 2,2024-06-16,Water manage choose society less speech half old. This clause will create difficulties and must be reconsidered.,Negative,water manage choose society less speech half old clause create difficulties must reconsidered,NEGATIVE
54,Consultant,Section 17,2024-08-09,From official box similar successful when activity art idea do national. This change is beneficial and should be welcomed.,Positive,official box similar successful activity art idea national change beneficial welcomed,POSITIVE
55,Consultant,Section 11,2024-01-06,Billion church least eat number special radio later town from issue another recently figure picture. This change is beneficial and should be welcomed.,Positive,billion church least eat number special radio later town issue another recently figure picture change beneficial welcomed,POSITIVE
56,Consultant,Section 7,2024-09-23,Base degree senior avoid someone us have already Congress rather too tax expect. It has both advantages and drawbacks depending on context.,Neutral,base degree senior avoid someone us already congress rather tax expect advantages drawbacks depending context,NEGATIVE
