comment_id,stakeholder,provision_reference,date,comment_text,sentiment_label
1,Lawyer,Section 12,2024-01-27,Resource value far happy thought on natural thus generation somebody citizen door bag. This clause will create difficulties and must be reconsidered.,Negative
2,NGO,Section 1,2024-08-09,Case student benefit perhaps bar catch stay foreign sister. It has both advantages and drawbacks depending on context.,Neutral
3,Consultant,Section 11,2024-02-25,Away people garden successful arrive enter specific clearly on thousand eat. It has both advantages and drawbacks depending on context.,Neutral
4,Individual,Section 18,2024-04-19,Move claim personal young financial far institution bank behind good more rich executive amount world. It has both advantages and drawbacks depending on context.,Neutral
5,Lawyer,Overall Draft,2024-07-24,Heart vote health she instead religious prove foot it tell answer however late seem his. This change is beneficial and should be welcomed.,Positive
6,NGO,Overall Draft,2024-08-15,Last again control successful lose girl phone power military car though dog. This clause will create difficulties and must be reconsidered.,Negative
7,Individual,Section 16,2024-07-10,Science thing mother throughout summer property these election ever less movement. This clause will create difficulties and must be reconsidered.,Negative
8,Regulator,Clause 8,2024-02-15,Population tough anything PM field movie respond check it. This clause will create difficulties and must be reconsidered.,Negative
9,Regulator,Section 17,2024-03-18,Act believe continue also election hot return enough the important blue clearly capital maintain. This change is beneficial and should be welcomed.,Positive
10,Regulator,Section 17,2024-07-12,Fall choice million road assume pass significant just two director role trade can thus. It has both advantages and drawbacks depending on context.,Neutral
11,Lawyer,Clause 6,2024-01-16,Hair yard economy worker modern success half PM and attention according read door eight. This change is beneficial and should be welcomed.,Positive
12,Individual,Clause 8,2024-07-04,Without name thought watch value or law international within mouth. This change is beneficial and should be welcomed.,Positive
13,Auditor,Section 2,2024-08-12,Region identify serve road tell seat data leg adult shake run. It has both advantages and drawbacks depending on context.,Neutral
14,Regulator,Section 6,2024-04-12,Institution create body herself board resource ago car free know store soldier. This clause will create difficulties and must be reconsidered.,Negative
15,Consultant,Clause 1,2024-01-28,Wonder design follow know watch discover run. It has both advantages and drawbacks depending on context.,Neutral
16,Regulator,Section 10,2024-08-19,Above write condition student each mother hair learn goal do late hot Congress between. This change is beneficial and should be welcomed.,Positive
17,Auditor,Clause 5,2024-08-22,Area sister large reach allow customer off above build. This clause will create difficulties and must be reconsidered.,Negative
18,Lawyer,Clause 9,2024-06-26,Mouth wall tell enjoy bring age heart team realize soldier eye red they paper. This change is beneficial and should be welcomed.,Positive
19,Regulator,Section 10,2024-06-03,Mission develop project court thought general production future give none. This clause will create difficulties and must be reconsidered.,Negative
20,Individual,Section 17,2024-05-06,Indicate kind eight cultural level age ready kid office. This change is beneficial and should be welcomed.,Positive
21,Individual,Section 12,2024-03-31,Born yeah morning that have teach establish song young according world range so. It has both advantages and drawbacks depending on context.,Neutral
22,Company,Clause 1,2024-10-03,Bag practice hope hair or bit produce you. This clause will create difficulties and must be reconsidered.,Negative
23,Regulator,Section 17,2024-07-13,Treatment indeed base again particularly drug concern easy article conference share cause. It has both advantages and drawbacks depending on context.,Neutral
24,Company,Section 20,2024-08-04,Power game policy rather building program with bit hot clearly development ask teach human itself. It has both advantages and drawbacks depending on context.,Neutral
25,Company,Section 19,2024-02-04,Close can agreement even unit remember service least head task amount popular for green daughter. This clause will create difficulties and must be reconsidered.,Negative
26,NGO,Section 14,2024-03-10,Assume their him next American nearly a level role. This change is beneficial and should be welcomed.,Positive
27,Regulator,Section 12,2024-09-25,Reach serious ok need visit blue central method although. It has both advantages and drawbacks depending on context.,Neutral
28,Individual,Section 18,2024-07-23,Result expect instead compare make Republican newspaper military animal including rich change low worker society start. This change is beneficial and should be welcomed.,Positive
29,Auditor,Section 11,2024-03-24,Conference manager health this student including contain like gun should reduce single business exist develop. It has both advantages and drawbacks depending on context.,Neutral
30,Individual,Clause 4,2024-04-25,Manage never course meeting force article close class shoulder power data. It has both advantages and drawbacks depending on context.,Neutral
31,Individual,Section 7,2024-01-31,Six political study skin surface science fast future Congress then treatment land she affect send. It has both advantages and drawbacks depending on context.,Neutral
32,Regulator,Section 17,2024-05-30,Run sure walk different mean age box before clearly its see wife stand hear too consumer. This change is beneficial and should be welcomed.,Positive
33,Company,Section 8,2024-01-01,Church ready each already of campaign film indeed knowledge glass table citizen. It has both advantages and drawbacks depending on context.,Neutral
34,Auditor,Overall Draft,2024-04-14,Develop defense community example computer around keep while station officer relationship with understand music. This clause will create difficulties and must be reconsidered.,Negative
35,Consultant,Clause 1,2024-09-17,Left charge system strong music able identify eight form story much. This change is beneficial and should be welcomed.,Positive
36,Consultant,Section 3,2024-02-13,Remain accept almost beautiful happy approach mission with remain operation. This change is beneficial and should be welcomed.,Positive
37,Lawyer,Section 12,2024-07-23,List defense organization allow education play education society save send six tax. This clause will create difficulties and must be reconsidered.,Negative
38,Company,Section 4,2024-01-05,Free law sense other outside mean pressure pick although development language treatment them quality back. This change is beneficial and should be welcomed.,Positive
39,Consultant,Section 6,2024-05-06,Prove less admit street cost total positive door itself piece picture everybody recognize down discover loss. It has both advantages and drawbacks depending on context.,Neutral
40,Company,Section 10,2024-07-05,Congress range end might it similar third place meet theory home. It has both advantages and drawbacks depending on context.,Neutral
41,Company,Clause 6,2024-09-04,Create member whole probably medical international maybe level home as partner. This change is beneficial and should be welcomed.,Positive
